MergeSort,10000,127099,11,100000,0,006174
QuickSort,10000,154908,8,0,0,005642
MergeSort,10000,127030,11,100000,0,005098
QuickSort,10000,147579,8,0,0,006663
DeterministicSelect,10000,19369,0,0,0,006179
ClosestPair,10000,13758,0,0,0,036121
